p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0599775008453505e-6,0.9413896588507897,0.432,0.144,0.023721236491418097,16,RAB5IF
1.0636243382198614e-6,0.6933527939300114,0.568,0.214,0.02380284906502228,16,SNRNP70
1.0720727185678634e-6,0.373586440635677,0.541,0.188,0.023991915368830215,16,WNK1
1.1077193784655304e-6,0.5134069073723981,0.405,0.124,0.024789651970680105,16,ODC1
1.1107015646929068e-6,0.8794926588065897,0.405,0.128,0.02485639031626256,16,GLIPR1
1.1196385741091398e-6,0.4929784276837314,0.676,0.268,0.02505639164998844,16,GTF3A
1.1264781022611355e-6,1.029865906236008,0.432,0.148,0.02520945345050195,16,CERS2
1.1348582673276163e-6,0.7282334460669386,0.405,0.122,0.025396993164524727,16,STK25
1.1411731477737691e-6,1.0172374142083938,0.27,0.066,0.02553831387402918,16,GNPAT
1.1457843718545487e-6,1.1645095706099045,0.432,0.146,0.025641508457732946,16,WDR13
1.1465274868631212e-6,1.0371756904484712,0.378,0.115,0.02565813862850979,16,ECHDC1
1.1541680834049305e-6,1.140305446209568,0.378,0.117,0.025829127538518938,16,APMAP
1.1858038550442423e-6,0.3009364730126214,0.27,0.065,0.026537104472035097,16,TP53
1.189083560931205e-6,0.8389634968440627,0.324,0.088,0.026610501010079435,16,SECISBP2
1.1919125444452365e-6,0.3728010123893306,0.459,0.151,0.026673810832139946,16,CYLD
1.1996225070077331e-6,0.9389492247303577,0.568,0.222,0.02684635208432606,16,PPP1CA
1.20236458440262e-6,0.930576295364639,0.541,0.2,0.026907717034346232,16,MPC1
1.2118698813974356e-6,1.4865877564288468,0.351,0.105,0.02712043607579321,16,EXOC7
1.218752095911634e-6,1.7225655483498858,0.378,0.119,0.02727445315440646,16,CETN2
1.2198330614692934e-6,1.2786422699406392,0.324,0.092,0.027298644082621316,16,FHL3
1.2286890841102466e-6,1.134426694953298,0.378,0.115,0.027496833013303208,16,MRPL16
1.2445784179277032e-6,0.7692170488377883,0.351,0.101,0.02785242041480407,16,TMA16
1.2468039686124563e-6,1.2331285421240032,0.351,0.106,0.02790222601357816,16,ZCCHC17
1.275926997748802e-6,0.8764300326738408,0.432,0.142,0.028553970282620442,16,WASHC3
1.277813358038859e-6,1.8590113462189441,0.27,0.07,0.028596185139551623,16,DTYMK
1.279797438770129e-6,1.3110415443073593,0.432,0.146,0.028640586882236717,16,C19orf24
1.2941560806901992e-6,0.9582142141368353,0.459,0.156,0.02896191892976597,16,SHC1
1.3061177533438816e-6,1.3441059684621872,0.324,0.093,0.029229609202082726,16,SLC35B2
1.3204856912260765e-6,1.109605745523745,0.459,0.162,0.029551149283948364,16,SNRPC
1.3290005460644177e-6,0.7154821302202077,0.459,0.157,0.029741703220375604,16,GCC2
1.35045972699379e-6,1.1209902559109985,0.378,0.114,0.030221938230394024,16,MAGEF1
1.3643067186713249e-6,0.7524826774410097,0.595,0.237,0.03053182005714558,16,KLF2
1.365124791976052e-6,0.7778908961737574,0.351,0.1,0.03055012771963207,16,CYBC1
1.397283634744322e-6,1.2453713581794563,0.622,0.28,0.03126981046194318,16,RPL22L1
1.4018343527350727e-6,0.8488383282000507,0.351,0.101,0.031371650979858196,16,MRPL28
1.4350483625653965e-6,1.0943858386660263,0.514,0.198,0.03211494730585101,16,METTL26
1.437779831315713e-6,1.1804995755109413,0.324,0.09,0.03217607484501434,16,HIBCH
1.4463405979427517e-6,1.1706916918734396,0.351,0.104,0.03236765624136084,16,MPV17
1.446506771486788e-6,1.1169977151014319,0.486,0.181,0.03237137503910283,16,CTDNEP1
1.4490710262312323e-6,0.811151919200328,0.919,0.495,0.03242876049602875,16,UBL5
1.4620717064547724e-6,0.8009258522458782,0.351,0.1,0.03271970271875135,16,NCBP2-AS2
1.4726082422096607e-6,0.736806184344543,0.703,0.3,0.032955499852409996,16,ARPC1B
1.4946370404544829e-6,1.6437947604794618,0.297,0.08,0.03344848232833087,16,LINC00667
1.4980805029789417e-6,0.7789052783118162,0.297,0.077,0.03352554357616574,16,POLR2J3.1
1.5164647133950077e-6,0.7837517731036616,0.27,0.066,0.033936963821066875,16,OSGEP
1.5297496846023084e-6,0.8189328735647909,0.297,0.077,0.03423426819171506,16,SLC39A10
1.5450123063306382e-6,0.5816822700206197,0.432,0.141,0.03457583040337335,16,EMD
1.5540467232448817e-6,1.3957323576022822,0.351,0.104,0.03477801161949721,16,CLN5
1.5890202728410321e-6,1.1137037209898937,0.27,0.068,0.035560684685909456,16,CDC42BPB
1.6302680989896398e-6,1.4017889313739673,0.405,0.133,0.03648376978728915,16,PWP1
1.6333333041964418e-6,0.8694136591199438,0.649,0.291,0.03655236601461217,16,ATP5F1A
1.6574624859037208e-6,0.9318420395332572,0.27,0.067,0.03709235297203937,16,UBAP2
1.66576020939811e-6,0.47120128403448436,0.351,0.1,0.037278047726120304,16,OFD1
1.6777095237295098e-6,1.4287431380860687,0.378,0.119,0.0375454614315427,16,MAPRE2
1.7157198111050064e-6,1.098881637062517,0.351,0.103,0.03839609365271894,16,COPS7A
1.7407517504728697e-6,1.1268639210812452,0.351,0.103,0.03895628342383235,16,NOC2L
1.7422460291950255e-6,1.2979908053310787,0.405,0.132,0.03898972388735548,16,SCOC
1.7510616883025223e-6,0.66430548524508,0.919,0.535,0.039187009522522145,16,COX7A2
1.763986331356002e-6,1.4519906923802108,0.378,0.122,0.03947625010941597,16,GABPB1-AS1
1.7704569782298494e-6,1.1118709075568785,0.378,0.119,0.0396210567158058,16,UBE2Z
1.8168847925807862e-6,0.7590929002544806,0.541,0.196,0.040660064773165416,16,MFAP2
1.8378951992939171e-6,0.7167483194337143,0.568,0.207,0.041130256664998574,16,GPX8
1.8383164605847782e-6,0.8202432331221647,0.595,0.252,0.04113968407142675,16,MDH2
1.8574182656793275e-6,0.49397326614138537,0.27,0.067,0.04156716336763767,16,SYNJ2BP
1.8624606637501399e-6,1.3345968169345055,0.27,0.07,0.04168000719406438,16,WSB2
1.8858577657973985e-6,0.7891188492081961,0.486,0.171,0.042203610940779984,16,ERGIC2
