p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,11.00283964343747,0.486,0,0,16,GPR17
0,10.847467279848775,0.27,0,0,16,OPRD1
0,10.740512247062473,0.486,0,0,16,AP002833.1
0,9.959243175758168,0.459,0.001,0,16,CALB2
0,9.909925989893058,0.703,0.001,0,16,FOXD3
0,9.81379530089567,0.486,0,0,16,LINC01198
0,9.63116846454741,0.514,0.001,0,16,ACSBG1
0,9.2611257180772,0.324,0,0,16,PCDH20
0,9.205931774003679,0.324,0,0,16,GALR1
0,9.17148684060066,0.486,0,0,16,KIRREL3
