module,gene_symbol
neutrophil_degranulation,CHIT1
neutrophil_degranulation,CHRNB4
neutrophil_degranulation,CKAP4
neutrophil_degranulation,CLEC12A
neutrophil_degranulation,CLEC4C
neutrophil_degranulation,CLEC4D
neutrophil_degranulation,CLEC5A
neutrophil_degranulation,CMTM6
neutrophil_degranulation,CNN2
neutrophil_degranulation,COMMD3
neutrophil_degranulation,COMMD9
neutrophil_degranulation,COPB1
neutrophil_degranulation,COTL1
neutrophil_degranulation,CPNE1
neutrophil_degranulation,CPNE3
neutrophil_degranulation,CPPED1
neutrophil_degranulation,CR1
neutrophil_degranulation,CRACR2A
neutrophil_degranulation,CREG1
neutrophil_degranulation,CRISP3
neutrophil_degranulation,CRISPLD2
neutrophil_degranulation,CSNK2B
neutrophil_degranulation,CST3
neutrophil_degranulation,CSTB
neutrophil_degranulation,CTSA
neutrophil_degranulation,CTSB
neutrophil_degranulation,CTSC
neutrophil_degranulation,CTSD
neutrophil_degranulation,CTSG
neutrophil_degranulation,CTSH
neutrophil_degranulation,CTSS
neutrophil_degranulation,CTSZ
neutrophil_degranulation,CXCL1
neutrophil_degranulation,CXCR1
neutrophil_degranulation,CXCR2
neutrophil_degranulation,CYB5R3
neutrophil_degranulation,CYBA
neutrophil_degranulation,CYBB
neutrophil_degranulation,CYFIP1
neutrophil_degranulation,CYSTM1
neutrophil_degranulation,DBNL
neutrophil_degranulation,DDOST
neutrophil_degranulation,DDX3X
neutrophil_degranulation,DEFA1
neutrophil_degranulation,DEFA1B
neutrophil_degranulation,DEFA4
neutrophil_degranulation,DEGS1
neutrophil_degranulation,DERA
neutrophil_degranulation,DGAT1
neutrophil_degranulation,DIAPH1
neutrophil_degranulation,DNAJC13
neutrophil_degranulation,DNAJC3
neutrophil_degranulation,DNAJC5
neutrophil_degranulation,DNASE1L1
neutrophil_degranulation,DOCK2
neutrophil_degranulation,DOK3
neutrophil_degranulation,DPP7
neutrophil_degranulation,DSC1
neutrophil_degranulation,DSG1
neutrophil_degranulation,DSN1
neutrophil_degranulation,DSP
neutrophil_degranulation,DYNC1H1
neutrophil_degranulation,DYNC1LI1
neutrophil_degranulation,DYNLL1
neutrophil_degranulation,DYNLT1
neutrophil_degranulation,EEF1A1
neutrophil_degranulation,EEF2
neutrophil_degranulation,ELANE
neutrophil_degranulation,ENPP4
neutrophil_degranulation,EPX
neutrophil_degranulation,ERP44
neutrophil_degranulation,FABP5
neutrophil_degranulation,FAF2
neutrophil_degranulation,FCAR
neutrophil_degranulation,FCER1G
neutrophil_degranulation,FCGR2A
neutrophil_degranulation,FCGR3B
neutrophil_degranulation,FCN1
neutrophil_degranulation,FGL2
neutrophil_degranulation,FGR
neutrophil_degranulation,FLG2
