gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
REACTOME_RAC1_GTPASE_CYCLE,early_wound_vs_normal_skin,Up,Up,0.13465189487042634,0.15734318994491273,0.3766973862585139,0.4022208388299716,182,182,FALSE
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,early_wound_vs_normal_skin,Up,Up,0.13588673248922004,0.11655715334111444,0.37940570297345216,0.3438716658763537,127,127,FALSE
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,early_wound_vs_normal_skin,Up,Up,0.13603283909657507,0.15494942098160808,0.37940570297345216,0.3988264881012976,15,15,FALSE
REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9,early_wound_vs_normal_skin,Up,Up,0.13693205321047697,0.1421958175288357,0.3810245004737236,0.3854806970766962,7,7,FALSE
REACTOME_BICARBONATE_TRANSPORTERS,early_wound_vs_normal_skin,Up,Up,0.1372702370669453,0.10179540892358259,0.3810245004737236,0.32118217096518714,8,8,FALSE
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,early_wound_vs_normal_skin,Up,Up,0.13736847412409883,0.14816159731497855,0.3810245004737236,0.3923933946180556,122,122,FALSE
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY,early_wound_vs_normal_skin,Down,Down,0.1374424612699014,0.12764965434537526,0.3810245004737236,0.3643855655413777,30,30,FALSE
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER,early_wound_vs_normal_skin,Down,Down,0.1378310424618271,0.18038280020107755,0.3815262892241539,0.435096570563754,26,26,FALSE
REACTOME_SARS_COV_INFECTIONS,early_wound_vs_normal_skin,Up,Up,0.13816584983967747,0.13070904369681566,0.3815909892807437,0.3691991872523653,449,449,FALSE
REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS,early_wound_vs_normal_skin,Up,Up,0.13826964029432823,0.1520774731028806,0.3815909892807437,0.3964858110340003,42,42,FALSE
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,early_wound_vs_normal_skin,Up,Up,0.13877516282706923,0.12997026251986804,0.38164100482237223,0.3680821918513366,35,35,FALSE
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,early_wound_vs_normal_skin,Down,Down,0.13899502376912817,0.11063945597586092,0.38164100482237223,0.3380591692151398,32,32,FALSE
REACTOME_MECP2_REGULATES_TRANSCRIPTION_FACTORS,early_wound_vs_normal_skin,Up,Up,0.13907744081824186,0.13761627201015614,0.38164100482237223,0.38074792851364153,4,4,FALSE
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,early_wound_vs_normal_skin,Up,Up,0.13911832058269283,0.15391341223270721,0.38164100482237223,0.3984516585673959,110,110,FALSE
