Sample_name,Condition,Donor,Seq_Batch,AnnoType,annotated_spots,ECM_organization,cell_cycle_mitotic,collagen_biosynthesis,collagen_formation,innate_immune_system,neutrophil_degranulation
Donor2_Skin,Skin,Donor2,2,Basal_epi,32,0.32760528736596695,0.30192184625640645,0.39052388423879875,0.3921074706554699,0.32335457585461974,0.45188103131580065
Donor2_Skin,Skin,Donor2,2,Dermis1,102,0.24954992121668287,0.08473241788643669,0.36044580104496293,0.3132202563877798,0.13369586713491927,0.19967691527531306
Donor2_Skin,Skin,Donor2,2,Dermis2,7,0.31617663598892554,0.1240713728689021,0.34482294470794045,0.3232535802465394,0.18362087017493225,0.2656112647112149
Donor2_Skin,Skin,Donor2,2,FB1,67,0.30043141880627894,0.07778882801005246,0.4697289593664059,0.39130616833962656,0.1343438824622482,0.19886577631590172
Donor2_Skin,Skin,Donor2,2,FB2,189,0.38733935926371454,0.11409176282816237,0.5377780980302436,0.4677524712162488,0.19049178719274498,0.28163422670142624
Donor2_Skin,Skin,Donor2,2,Hair_follicle,2,0.22345663801830273,0.046626202130930494,0.4688663429891367,0.38974366916928016,0.10372591919714005,0.16862113020486363
Donor2_Skin,Skin,Donor2,2,Immune,68,0.2939246262774012,0.09869804313088204,0.407744910945346,0.36172964511058436,0.1703898850002463,0.2489867252442903
Donor2_Skin,Skin,Donor2,2,Immune_endo,120,0.36344837238451,0.1583433694739023,0.45844295752305825,0.41977317262765684,0.24086655142343097,0.343939157928551
Donor2_Skin,Skin,Donor2,2,LE,11,0.3013429721431954,0.12484493859078669,0.3745510227961344,0.319344765033579,0.1885702560090359,0.2764939021834007
Donor2_Skin,Skin,Donor2,2,Mast_cell,14,0.2691872758274652,0.08193939964114842,0.378235317427741,0.3317801280453896,0.14066939883463533,0.21533300198894187
Donor2_Skin,Skin,Donor2,2,Papillary_dermis,35,0.2560661442655471,0.1239230841298604,0.34666340642687715,0.30426451398777754,0.16927299161545795,0.2559746487320292
Donor2_Skin,Skin,Donor2,2,Sebaceous_gland,6,0.17751514598082754,0.04013310439147503,0.2689434977495366,0.21990201804673803,0.07084818805922337,0.11663802403177392
Donor2_Skin,Skin,Donor2,2,Smooth_muscle,57,0.3238537169585316,0.13813096516841628,0.4065581688116436,0.3644626268179616,0.1950654095702475,0.2763956436665968
Donor2_Skin,Skin,Donor2,2,Suprabasal_epi,46,0.256275558518844,0.2821609191966284,0.277582489473926,0.28707614649335844,0.30949306479891286,0.4433961557529259
Donor2_Skin,Skin,Donor2,2,Sweat_gland,8,0.2623964202878535,0.1530554608572045,0.33600753023733726,0.3187504511284412,0.20310966818708812,0.29376044321657585
Donor2_Skin,Skin,Donor2,2,Sweatgland_FB,25,0.21652216763355997,0.07732406892698437,0.33430884963170565,0.28086772824841444,0.12157821465210274,0.18213424399681255
Donor2_Skin,Skin,Donor2,2,Wound_edges,53,0.22460491227371251,0.08788125046939421,0.34000557038430534,0.2990040853849099,0.12903822066144982,0.19780764138510576
Donor2_Wound1,Wound1,Donor2,2,Basal_epi,106,0.18509528452197954,0.1855378515802819,0.18269040280846918,0.21455026188730722,0.22120153505342005,0.31930485227537814
Donor2_Wound1,Wound1,Donor2,2,Dermis1,311,0.15048080380684606,0.11551375838684211,0.1291743874768322,0.16222791231371492,0.18340125880305524,0.2730393402263715
Donor2_Wound1,Wound1,Donor2,2,Dermis2,16,0.3572026844742533,0.23458279507876462,0.34036561819627953,0.38951447172815734,0.30379816322990755,0.4220069105659367
Donor2_Wound1,Wound1,Donor2,2,FB1,69,0.17973480841415257,0.10416121100643018,0.1989143529345279,0.22208120416042876,0.15618531247235623,0.23185027839113917
Donor2_Wound1,Wound1,Donor2,2,FB2,143,0.23811760732134116,0.1288959200692343,0.23899756652234272,0.26747509569757083,0.19433771422779247,0.28366095799680424
Donor2_Wound1,Wound1,Donor2,2,Hair_follicle,34,0.36108979689381504,0.24786149619349812,0.37670833148367017,0.42783154381929955,0.2886487999110949,0.40471681457661796
Donor2_Wound1,Wound1,Donor2,2,Immune,165,0.21607310969090984,0.16798593984091326,0.18589383833943454,0.2329851004254361,0.24823148961420163,0.3654078930337133
Donor2_Wound1,Wound1,Donor2,2,Immune_endo,234,0.27367604670730383,0.20026718456500767,0.2753095054444838,0.3045590810124359,0.27596995868926627,0.395621056211481
Donor2_Wound1,Wound1,Donor2,2,LE,38,0.21893332147672342,0.15793718962015332,0.21109221878556483,0.2493774045445477,0.2240443513847251,0.3256993926134323
Donor2_Wound1,Wound1,Donor2,2,Mast_cell,7,0.1557709840729733,0.12609191439010362,0.14909361190162132,0.160994716939815,0.1701983839712701,0.2426081215876881
Donor2_Wound1,Wound1,Donor2,2,Papillary_dermis,72,0.181062980959424,0.12938621981226475,0.1854835634938479,0.2023693966545453,0.18925167223378703,0.2816845715155117
Donor2_Wound1,Wound1,Donor2,2,Sebaceous_gland,19,0.09125015598216567,0.06437356344918166,0.07440231154796344,0.09624045844518653,0.11173851244332045,0.17771279207053858
Donor2_Wound1,Wound1,Donor2,2,Smooth_muscle,65,0.30958423739177654,0.21728599399366202,0.2954291463248263,0.32464767828397006,0.27549195024681317,0.3864703527531301
Donor2_Wound1,Wound1,Donor2,2,Suprabasal_epi,160,0.18070458649940874,0.18239314498143222,0.16737862664952372,0.1996213776793646,0.23446970129914005,0.3428035659260575
Donor2_Wound1,Wound1,Donor2,2,Sweat_gland,46,0.19595713231783152,0.15907181355685343,0.1715781052331136,0.2426276506704865,0.2215719589021916,0.3243941551946277
Donor2_Wound1,Wound1,Donor2,2,Sweatgland_FB,126,0.17292926133121603,0.12595054590056254,0.15723525454327908,0.19241096151320444,0.18444631793558044,0.25967328448449256
Donor2_Wound1,Wound1,Donor2,2,Wound_edges,147,0.19746549066050248,0.17268314448942174,0.18139955801110733,0.23209457798337027,0.2336777345537427,0.34313647635650313
Donor2_Wound30,Wound30,Donor2,2,Basal_epi,72,0.4056968697627742,0.34401844443411256,0.6264397296563193,0.5778396404681407,0.35961536288261775,0.49604386092581376
Donor2_Wound30,Wound30,Donor2,2,Dermis1,283,0.35325183337221433,0.09730819365045858,0.6523166515900073,0.5398147759848347,0.14374659086631575,0.2078611327315387
Donor2_Wound30,Wound30,Donor2,2,Dermis2,38,0.31556650249059087,0.12653397689798962,0.5372196427095681,0.45174863869154325,0.17734790949324605,0.2485108505732808
Donor2_Wound30,Wound30,Donor2,2,FB1,462,0.5875124994661549,0.21261637893143026,1.013131529861224,0.8644129639563732,0.26899058721144975,0.3764823905589409
Donor2_Wound30,Wound30,Donor2,2,FB2,274,0.5017894271564568,0.14815398819412984,0.8212635431146565,0.7031568059989823,0.21508094640120395,0.30387747630450496
Donor2_Wound30,Wound30,Donor2,2,Hair_follicle,15,0.32426789113584886,0.07422986022305218,0.6361230676196157,0.5126674697572728,0.10521559621684896,0.1552098761107031
Donor2_Wound30,Wound30,Donor2,2,Immune,131,0.4191775715326923,0.15592524866330484,0.670674643461815,0.5864531765385914,0.23961028936783674,0.33701143338854317
Donor2_Wound30,Wound30,Donor2,2,Immune_endo,317,0.5135232043597893,0.21380316034239655,0.8176833086328398,0.7116480200151898,0.2918815757113551,0.40171403509738346
Donor2_Wound30,Wound30,Donor2,2,LE,30,0.49524510209666445,0.2064323928709629,0.7814295522070304,0.6906347381807472,0.2797120250918352,0.38821666134427457
Donor2_Wound30,Wound30,Donor2,2,Mast_cell,23,0.5208985812740279,0.19063303082784613,0.8495222539720855,0.7312658557716358,0.2597563494657981,0.36006557994592964
Donor2_Wound30,Wound30,Donor2,2,Papillary_dermis,160,0.3529630714683244,0.12609769437287943,0.6310450972153416,0.5284299706656326,0.17949618369045978,0.25969016753222113
Donor2_Wound30,Wound30,Donor2,2,Sebaceous_gland,18,0.3231794653908155,0.08217208536302625,0.6355739751008485,0.506356006323792,0.12067673920112772,0.16999155868468108
Donor2_Wound30,Wound30,Donor2,2,Smooth_muscle,45,0.4901557082989264,0.20378897765313322,0.6966973251992906,0.6187557126512432,0.2612895794709967,0.3577540823573082
Donor2_Wound30,Wound30,Donor2,2,Suprabasal_epi,74,0.3694680250268415,0.26901327359407734,0.5881539437404159,0.5258674586611786,0.31140200631153153,0.44521340309509017
Donor2_Wound30,Wound30,Donor2,2,Sweat_gland,12,0.34944671686305,0.22331790489287615,0.48041798752474185,0.46894425932620204,0.2803343310027194,0.3903808744836324
Donor2_Wound30,Wound30,Donor2,2,Sweatgland_FB,200,0.3584781127863435,0.10955354154666817,0.6372859114869507,0.533995166334662,0.1655254952823781,0.22940340561809214
Donor2_Wound30,Wound30,Donor2,2,Wound_edges,51,0.4182034955445258,0.2333362943399929,0.7148649092991922,0.6221628433328271,0.2819273239515811,0.401235161390723
Donor2_Wound7,Wound7,Donor2,2,Basal_epi,45,0.28560918743542146,0.3264262176566506,0.35401141836932637,0.3721626367407488,0.3267103242129002,0.4597337041912091
Donor2_Wound7,Wound7,Donor2,2,Dermis1,288,0.11247261510716508,0.06701445257461097,0.13104040010564366,0.14352190665184394,0.10314297948201516,0.15330048265254967
Donor2_Wound7,Wound7,Donor2,2,Dermis2,17,0.2352002562712735,0.12119545274481955,0.2730332894784341,0.2726520434727242,0.17206546691252753,0.24252277242338832
Donor2_Wound7,Wound7,Donor2,2,FB1,79,0.1561882060238738,0.07386206050938693,0.24549670368587073,0.22699274290205013,0.10321952159981412,0.149972004410956
Donor2_Wound7,Wound7,Donor2,2,FB2,151,0.198395117531624,0.07483784596845762,0.24056897997077367,0.23058110739007012,0.12168958556942007,0.17628485064692678
Donor2_Wound7,Wound7,Donor2,2,Hair_follicle,8,0.1002983770500936,0.05529059768818577,0.09582267755768424,0.09716155926496861,0.08965610850305206,0.13625216792294972
Donor2_Wound7,Wound7,Donor2,2,Immune,132,0.25825897414818305,0.15799346699518635,0.28870762363968294,0.3238178035862422,0.24561370836935573,0.3563268383696707
Donor2_Wound7,Wound7,Donor2,2,Immune_endo,298,0.2858605112394761,0.15887947462442434,0.37263195285510886,0.35590292297663895,0.22033861597313723,0.3079944177445179
Donor2_Wound7,Wound7,Donor2,2,LE,46,0.20496254203842018,0.11386446768571001,0.25320743864222306,0.24661581765251891,0.15931665202802328,0.22836524412482578
Donor2_Wound7,Wound7,Donor2,2,Mast_cell,15,0.12516095199374688,0.06501476906222466,0.15444807878846875,0.14405097703792347,0.0986460093279528,0.14813948149040915
Donor2_Wound7,Wound7,Donor2,2,Papillary_dermis,71,0.1707353611734795,0.10774888146035824,0.23268934305757422,0.2265573514325842,0.1478102148929937,0.21933848399082256
Donor2_Wound7,Wound7,Donor2,2,Sebaceous_gland,22,0.08553942686070891,0.051793109735826424,0.10938072765309653,0.11428230620097998,0.08028306620000705,0.11928741983532774
Donor2_Wound7,Wound7,Donor2,2,Smooth_muscle,60,0.2656814015782156,0.1330304514572293,0.29444408912442566,0.286737071509655,0.18230321148086165,0.25094413410433336
Donor2_Wound7,Wound7,Donor2,2,Suprabasal_epi,45,0.20857931924790934,0.27953968803208873,0.20886978105747941,0.23529071459679776,0.30981108183898637,0.45230114488855794
Donor2_Wound7,Wound7,Donor2,2,Sweat_gland,46,0.23158134604587882,0.1678212496294471,0.2472575508654728,0.28425233718434395,0.21862072149584627,0.3046400649236739
Donor2_Wound7,Wound7,Donor2,2,Sweatgland_FB,200,0.15980794247238236,0.10028501937354989,0.17654586812328346,0.18937565003458712,0.1461764447596191,0.1982651866694553
Donor2_Wound7,Wound7,Donor2,2,Wound_edges,83,0.2749072999890815,0.23903678876308607,0.23670676441634664,0.3636724693266374,0.30095534469088536,0.44787860051029676
Donor3_Skin,Skin,Donor3,3,Basal_epi,23,0.2594696304783479,0.2790601402687452,0.3282289707706679,0.3361282097947236,0.29106251591415966,0.4040344012820157
Donor3_Skin,Skin,Donor3,3,Dermis1,78,0.13677632058982703,0.05987287221680161,0.258829652805664,0.2213806058209404,0.08413428153103009,0.13022496920282084
Donor3_Skin,Skin,Donor3,3,Dermis2,9,0.14605119716843948,0.06516158350231731,0.2685278415002615,0.2448611675961951,0.08437912755970407,0.13858024057568352
Donor3_Skin,Skin,Donor3,3,FB1,48,0.16928189602710453,0.047864634214608424,0.3362620981426761,0.28354008488769866,0.07240693897806533,0.11375871547193923
Donor3_Skin,Skin,Donor3,3,FB2,120,0.23752086088497926,0.06877567832602556,0.4099839447667174,0.34408933547782045,0.10399046456340491,0.16018987276648547
Donor3_Skin,Skin,Donor3,3,Hair_follicle,6,0.15097750061090906,0.07230584061195398,0.28670704473884856,0.2402035779435594,0.09174797040851547,0.14257513273476632
Donor3_Skin,Skin,Donor3,3,Immune,42,0.19456126191525883,0.09529008058831266,0.3053705267513644,0.2798182997873139,0.1438869708215061,0.21447753141897347
Donor3_Skin,Skin,Donor3,3,Immune_endo,76,0.26068253283979714,0.15276606832151726,0.37168240161003246,0.339073538902771,0.20978394901328432,0.29742730565504305
Donor3_Skin,Skin,Donor3,3,LE,12,0.24789143702275016,0.15485442699993712,0.3112623557721948,0.2972440584636208,0.19268216209517952,0.2745509345571661
Donor3_Skin,Skin,Donor3,3,Mast_cell,4,0.14890196812784218,0.09692658193023823,0.22106609903070823,0.179794400998617,0.12490864580267377,0.17491051983800193
Donor3_Skin,Skin,Donor3,3,Papillary_dermis,33,0.14062798898657652,0.07751265594645347,0.25322448793430985,0.21255538792413536,0.10125563295943191,0.15299281342432108
Donor3_Skin,Skin,Donor3,3,Sebaceous_gland,5,0.12104573863580137,0.08253313589190331,0.20235834916329373,0.18311513081548716,0.09787885005935938,0.13679769578339512
Donor3_Skin,Skin,Donor3,3,Smooth_muscle,23,0.17789361310318608,0.0768582345014789,0.25756504216304243,0.22109054873852538,0.09705683663031471,0.14250224444197707
Donor3_Skin,Skin,Donor3,3,Suprabasal_epi,49,0.18273369155503466,0.18957279219921144,0.22172341250194996,0.22061540543480687,0.2235552907249444,0.3268561988256823
Donor3_Skin,Skin,Donor3,3,Sweat_gland,5,0.17735871576747705,0.12378672442648779,0.24425703741616286,0.2497424224721377,0.16958917819803276,0.23857232989640886
Donor3_Skin,Skin,Donor3,3,Sweatgland_FB,56,0.12495316213969813,0.05187984483148776,0.2364266623639027,0.20213206383127794,0.07895057443435896,0.1136558644403619
Donor3_Skin,Skin,Donor3,3,Wound_edges,96,0.13384230573783099,0.06002179104320652,0.24690167783348427,0.21817510810153892,0.09690728892846444,0.15678443761055297
Donor3_Wound1,Wound1,Donor3,3,Basal_epi,90,0.11441542689073435,0.12499597767477749,0.10205813773836728,0.137097710205923,0.15701463224486356,0.2291674572307093
Donor3_Wound1,Wound1,Donor3,3,Dermis1,269,0.11221791300649,0.11143286656373495,0.07950400377753736,0.11849513994050534,0.15986578685106156,0.23681081634185314
Donor3_Wound1,Wound1,Donor3,3,Dermis2,15,0.1397849235125906,0.10946774609523714,0.13542993828597372,0.1647365466915506,0.15748990953333913,0.2330154374075242
Donor3_Wound1,Wound1,Donor3,3,FB1,52,0.1257549648292343,0.09545221734530236,0.12277770518670353,0.1538124857466465,0.13442253719485903,0.2041905847209094
Donor3_Wound1,Wound1,Donor3,3,FB2,75,0.2543040658618814,0.15844261238263146,0.3118112694739652,0.31748765991729533,0.22000480694190302,0.3253995428758547
Donor3_Wound1,Wound1,Donor3,3,Hair_follicle,13,0.3511570124813105,0.3099453637588987,0.36926174326496697,0.43886491810545886,0.33102512976637105,0.4648078551088734
Donor3_Wound1,Wound1,Donor3,3,Immune,128,0.14213752978942756,0.12717011240624096,0.111784951315687,0.1564425294719339,0.18538263519347312,0.27541782891165556
Donor3_Wound1,Wound1,Donor3,3,Immune_endo,103,0.22501780881811054,0.18531846334236496,0.23923460877327993,0.2702108282496099,0.24639026225130392,0.3486370099691772
Donor3_Wound1,Wound1,Donor3,3,LE,24,0.15968661549661287,0.1413923536296454,0.14270980425948607,0.17963678083770884,0.18387211444792428,0.2698633604683156
Donor3_Wound1,Wound1,Donor3,3,Mast_cell,7,0.09560082317377991,0.0643119024502973,0.04016447928574497,0.08766594183293634,0.11816559076801558,0.17232579390931496
Donor3_Wound1,Wound1,Donor3,3,Papillary_dermis,24,0.18104075265844258,0.15987575747035357,0.22139518151307258,0.22527165022632278,0.20318615126255235,0.2932180864488548
Donor3_Wound1,Wound1,Donor3,3,Sebaceous_gland,47,0.15130610419348633,0.23865365537541605,0.11157104797179952,0.16366820143066094,0.27649031066676377,0.3944958671679441
Donor3_Wound1,Wound1,Donor3,3,Smooth_muscle,40,0.18424730253154672,0.15540482314806975,0.1572696925774627,0.19354889591899876,0.19037636865515764,0.2718265749730259
Donor3_Wound1,Wound1,Donor3,3,Suprabasal_epi,114,0.12428968501986593,0.14677103905118216,0.10174516885958126,0.1371221105203907,0.18907387650835192,0.28106546127066
Donor3_Wound1,Wound1,Donor3,3,Sweat_gland,11,0.24435542193149115,0.254415130968278,0.18231455590490786,0.3026768331830046,0.29592387823216143,0.4178885724649049
Donor3_Wound1,Wound1,Donor3,3,Sweatgland_FB,148,0.11405558503673327,0.09725141629885417,0.0974686148066533,0.133660201943301,0.14021891625550836,0.20119397264644504
Donor3_Wound1,Wound1,Donor3,3,Wound_edges,157,0.14488500051388045,0.15367424786380798,0.10515656776991564,0.16409639453474112,0.20657773253223335,0.3061750976783652
Donor3_Wound30,Wound30,Donor3,3,Basal_epi,53,0.29918956860496504,0.2737683836234583,0.43546482533739445,0.4146196076228298,0.2996046856039661,0.41266177714407853
Donor3_Wound30,Wound30,Donor3,3,Dermis1,403,0.2433717350615017,0.08110367444774778,0.4586561608194787,0.386942920647535,0.11272991788171223,0.15858023923957804
Donor3_Wound30,Wound30,Donor3,3,Dermis2,13,0.327000816294507,0.1780629159086242,0.4567587681994947,0.40655401402032115,0.2285960503711044,0.30664699648097965
Donor3_Wound30,Wound30,Donor3,3,FB1,85,0.4001725347108621,0.11965019878744954,0.6806887329500069,0.572283634796809,0.16837128337503054,0.23609587338295157
Donor3_Wound30,Wound30,Donor3,3,FB2,330,0.41826836275828405,0.12896427034045813,0.6668157595393883,0.5770646104262032,0.19879814345501046,0.28264273439482457
Donor3_Wound30,Wound30,Donor3,3,Hair_follicle,8,0.35912849383076345,0.20422185651927072,0.5516387609196051,0.49800543205060177,0.2277027452582017,0.31699950343971617
Donor3_Wound30,Wound30,Donor3,3,Immune,140,0.3126354960679071,0.12524031652616885,0.5151200507141627,0.4493513864261644,0.18385720007491943,0.25847212837404415
Donor3_Wound30,Wound30,Donor3,3,Immune_endo,277,0.3853901546182404,0.18876635353241317,0.5737223490073831,0.5090886578626547,0.25280532420417784,0.3431668250745017
Donor3_Wound30,Wound30,Donor3,3,LE,31,0.37694554281206066,0.18302437909730812,0.5472531443692076,0.4869140727041605,0.23968767751628509,0.3284629965199006
Donor3_Wound30,Wound30,Donor3,3,Mast_cell,8,0.2850956794911371,0.1016609403811031,0.4700594790978786,0.4138527074637281,0.14756640579612035,0.20747367801666527
Donor3_Wound30,Wound30,Donor3,3,Papillary_dermis,97,0.2892964976768202,0.13956133318051378,0.4866514733874256,0.4198403697118955,0.18074436695143759,0.25924072372308393
Donor3_Wound30,Wound30,Donor3,3,Sebaceous_gland,18,0.2380937545674701,0.25198133606199397,0.31481098696133497,0.30333908336953347,0.2757719709374087,0.380930314529045
Donor3_Wound30,Wound30,Donor3,3,Smooth_muscle,56,0.43395495227636127,0.20495886284124226,0.5808405049290155,0.5225838501393494,0.25405787321323586,0.3486614893621041
Donor3_Wound30,Wound30,Donor3,3,Suprabasal_epi,78,0.2571285294328451,0.2599337168496327,0.3374334746253127,0.3171653139586906,0.29757954941749465,0.42153423695559794
Donor3_Wound30,Wound30,Donor3,3,Sweat_gland,13,0.28294120695487956,0.23152270036337408,0.34954780708233407,0.37678798023402416,0.27123868441475846,0.37038234669009895
Donor3_Wound30,Wound30,Donor3,3,Sweatgland_FB,233,0.2143974953110876,0.09260292438466443,0.37966282044430116,0.32242979875425015,0.13030615604096715,0.17556414371962836
Donor3_Wound30,Wound30,Donor3,3,Wound_edges,176,0.21754451036219996,0.09008660129803842,0.4008053634795251,0.34046868661919555,0.12195578023259772,0.17500193979101053
Donor3_Wound7,Wound7,Donor3,3,Basal_epi,37,0.26462858247454685,0.3130436926731489,0.3575558372216799,0.36389709670881115,0.30561930143144783,0.43184469130919195
Donor3_Wound7,Wound7,Donor3,3,Dermis1,352,0.23649602758474603,0.11792437420739602,0.33964150987327,0.33294592189570504,0.1722885414318573,0.2569526464532444
